Name,Role,Price,Points,Team
SoaresDePauelo,M,4.5,0,AVL
Nakamba,M,4.5,0,AVL
Fraser,M,7.5,181,BOU
Brooks,M,6.5,123,BOU
Stanislas,M,6,56,BOU
Ibe,M,5,33,BOU
Lewis Cook,M,5,22,BOU
Surman,M,5,36,BOU
Gosling,M,5,54,BOU
Lerma,M,5,75,BOU
Billing,M,5,63,BOU
Danjuema,M,6,0,BOU
Wilson,M,6,0,BOU
Grob,M,6.5,80,BHA
Jahanbakhsh,M,6,33,BHA
IzquierdoMena,M,5.5,31,BHA
Knockaert,M,5.5,74,BHA
Bissouma,M,5,43,BHA
Propper,M,5,72,BHA
March,M,5,94,BHA
Kayal,M,4.5,36,BHA
Stephens,M,4.5,65,BHA
Trossard,M,6,0,BHA
Mooy,M,5,76,BHA
Gudmundsson,M,6,92,BUR
McNeil,M,6,75,BUR
Brady,M,5.5,20,BUR
Defour,M,5.5,10,BUR
Hendrick,M,5.5,73,BUR
Westwood,M,5.5,111,BUR
Cork,M,5,87,BUR
Drinkwater,M,4.5,0,BUR
Lennon,M,5,41,BUR
Willian,M,7,108,CHE
Pedro,M,7,112,CHE
LoftusCheek,M,6.5,79,CHE
Hudson-Odoi,M,6,18,CHE
Barkley,M,6,79,CHE
Jurginho,M,5,96,CHE
Kante,M,5,116,CHE
Ampadu,M,4.5,0,CHE
Pulisic,M,7.5,0,CHE
Kovacic,M,5.5,64,CHE
Kenedy,M,5.5,50,CHE
Mount,M,6,0,CHE
Zaha,M,7,143,CRY
Milivojevic,M,7,166,CRY
Twonsend,M,6,135,CRY
Meyer,M,5.5,60,CRY
Schulupp,M,5.5,91,CRY
McArthur,M,5.5,121,CRY
Kouyate,M,5,67,CRY
Dreher,M,4.5,1,CRY
McCarthy,M,4.5,1,CRY
Camarasa,M,5,106,CRY
Iwobi,M,6,99,EVE
Richarlison,M,8,153,EVE
Sigurdsson,M,8,182,EVE
Bernard,M,6.5,88,EVE
Walcott,M,6.5,101,EVE
Davies,M,5.5,26,EVE
Lookman,M,5,34,EVE
Gueye,M,5,78,EVE
Schneiderlin,M,4.5,28,EVE
Gomes,M,5.5,64,EVE
Gbamin,M,5,0,EVE
Maddison,M,7,137,LEI
Barnes,M,6,43,LEI
Ghezzal,M,5.5,28,LEI
Albrighton,M,5.5,63,LEI
Gray,M,5.5,84,LEI
Ndidi,M,5,89,LEI
James,M,4.5,0,LEI
Amartey,M,4.5,15,LEI
Mendy,M,4.5,58,LEI
Choudhury,M,4.5,20,LEI
Perez,M,6.5,141,LEI
Tielemans,M,6.5,63,LEI
King,M,4.5,51,LEI
Praet,M,5.5,0,LEI
Chamberlain,M,6.5,2,LIV
Shaqiri,M,6.5,88,LIV
Lallana,M,6,23,LIV
Keita,M,6,67,LIV
Camacho,M,4.5,1,LIV
Sane,M,9.5,156,MCI
Silva,M,8,154,MCI
Foden,M,5.5,25,MCI
Rosa,M,5.5,79,MCI
Gundogan,M,5.5,113,MCI
Pogba,M,8.5,179,MUN
Martial,M,7.5,122,MUN
Sanchez,M,7,47,MUN
Lingard,M,6.5,78,MUN
Mata,M,6.5,70,MUN
James,M,6,0,MUN
Fred,M,5.5,40,MUN
Gomes,M,5,2,MUN
Pereira,M,5,27,MUN
Matic,M,5,59,MUN
McTominay,M,5,38,MUN
Chong,M,4.5,2,MUN
Garner,M,4.5,1,MUN
Almiron,M,6,28,NEW
Atsu,M,5.5,55,NEW
Ki,M,5,38,NEW
Shelvey,M,5,39,NEW
Longstaff,M,5,26,NEW
Hayden,M,4.5,69,NEW
Colback,M,4.5,0,NEW
Murphy,M,5,16,NEW
Aarons,M,5,5,NEW
SaintMaximin,M,5.5,0,NEW
Vrancic,M,6.5,0,NOR
Leitner,M,4.5,0,NOR
Tettey,M,4.5,53,NOR
Roberts,M,5.5,1,NOR
Amadou,M,4.5,0,NOR
Duffy,M,5.5,0,SHU
Fleck,M,5,0,SHU
Norwood,M,5,0,SHU
Freeman,M,5.5,0,SHU
Robinson,M,5.5,0,SHU
Morrison,M,5,1,SHU
Osborn,M,5,0,SHU
Besic,M,4.5,2,SHU
Redmond,M,6.5,137,SOU
WardProwse,M,6,94,SOU
Elyounoussi,M,5.5,28,SOU
Armstrong,M,5.5,75,SOU
Lemina,M,5,50,SOU
Hojbjerg,M,5,90,SOU
Johnson,M,4.5,1,SOU
Slattery,M,4.5,4,SOU
Romeu Vidal,M,4.5,55,SOU
Djenepo,M,5.5,0,SOU
Boufai,M,5.5,0,SOU
Son,M,9.5,159,TOT
Eriksen,M,9,161,TOT
Alli,M,8.5,94,TOT
LucasMoura,M,7.5,131,TOT
Lamela,M,6,67,TOT
Winks,M,5.5,53,TOT
Wanyama,M,5,24,TOT
Sissoko,M,5,76,TOT
Dier,M,5,56,TOT
Amos,M,4.5,1,TOT
Skipp,M,4.5,12,TOT
Ndombele,M,6,0,TOT
LaCelso,M,7.5,0,TOT
Sessegnon,M,5.5,94,TOT
Doucoure,M,6,124,WAT
Pereyra,M,6,122,WAT
Hughes,M,5.5,87,WAT
Cleverley,M,5,25,WAT
Sema,M,5,37,WAT
Capoue,M,5,79,WAT
Chalobah,M,4.5,10,WAT
Quina,M,4.5,17,WAT
Sarr,M,6.5,0,WAT
Yamolenko,M,6,27,WHU
Snodgrass,M,5.5,85,WHU
Noble,M,5,99,WHU
Sanchez,M,4.5,9,WHU
Diangana,M,4.5,25,WHU
Fornals,M,6.5,0,WHU
Obiang,M,4.5,43,WHU
Neves,M,5.5,104,WOL
Mountinho,M,5.5,119,WOL
Gibbs-White,M,5,37,WOL
Traore,M,5,44,WOL
Costa,M,5,52,WOL
Cavaleiro,M,5,48,WOL
Dendoncker,M,4.5,48,WOL
Origi,F,5.5,32,LIV
Pukki,F,6.5,0,NOR
Firmino,F,9.5,160,LIV
Jesus,F,9.5,79,MCI
Drmic,F,5.5,0,NOR
Haller,F,7.5,0,WHU
Aubameyang,F,11,205,ARS
Lacazette,F,9.5,166,ARS
Nketiah,F,4.5,10,ARS
MartinelliSilva,F,4.5,0,ARS
Kodjia,F,5.5,0,AVL
Moraes,F,6,0,AVL
Wilson,F,8,168,BOU
King,F,6.5,141,BOU
Solanlke,F,5.5,15,BOU
Surridge,F,4.5,2,BOU
Murray,F,6,129,BHA
Locadia,F,5.5,52,BHA
Adone,F,5,38,BHA
Maupay,F,6,0,BHA
Barnes,F,6.5,122,BUR
Wood,F,6.5,131,BUR
Vydra,F,5.5,21,BUR
Rodriguez,F,6,109,BUR
Giroud,F,7,55,CHE
Abraham,F,7,0,CHE
Batshuayi,F,7,48,CHE
Benteke,F,6,33,CRY
Wickham,F,4.5,9,CRY
Ayew,F,5,46,CRY
Tosun,F,6,56,EVE
Calvert-Lewin,F,6,92,EVE
Kean,F,7,0,EVE
Vardy,F,9,174,LEI
Iheanacho,F,6,58,LEI
Brewster,F,4.5,0,LIV
Aguero,F,12,201,MCI
Lukaku,F,8.5,115,MUN
Rashford,F,8.5,128,MUN
Greenwood,F,4.5,4,MUN
Muto,F,5.5,24,NEW
Joselu,F,5,30,NEW
DeLira,F,6,0,NEW
Carroll,F,5.5,12,NEW
Srbeny,F,5.5,0,NOR
Mousset,F,5,28,SHU
Sharp,F,6,0,SHU
McGoldrick,F,5.5,0,SHU
McBurnie,F,6,16,SHU
Austin,F,6,46,SOU
Ings,F,6,90,SOU
Obafemi,F,5,13,SOU
Long,F,5,66,SOU
Gallagher,F,4.5,4,SOU
Adams,F,6,0,SOU
Kane,F,11,160,TOT
Janssen,F,4.5,3,TOT
Parrott,F,4.5,0,TOT
Deeney,F,6.5,116,WAT
Deulofeu,F,6.5,133,WAT
Gray,F,6,83,WAT
Success,F,5,42,WAT
Welbeck,F,6,19,WAT
Arnautovic,F,7,117,WHU
Chicharito,F,6,86,WHU
Silva,F,4.5,1,WHU
Ajeti,F,6,0,WHU
Jimenez,F,7.5,181,WOL
Jota,F,6.5,139,WOL
Cutrone,F,6,0,WOL
